# Force and moment coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# magUInf       : 2.36600000e+02
# lRef          : 1.03300000e-01
# Aref          : 6.78000000e-03
# CofR          : (3.50000000e-02 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cd(f)           	Cd(r)           	Cl              	Cl(f)           	Cl(r)           	CmPitch         	CmRoll          	CmYaw           	Cs              	Cs(f)           	Cs(r)           
50              	1.90373207e-02	1.24130450e-02	6.62427571e-03	-1.34897185e-03	-6.77765035e-04	-6.71206816e-04	-3.27910951e-06	2.89438462e-03	-1.49215833e-02	1.79350793e-01	7.47538133e-02	1.04596980e-01
51              	1.90584207e-02	1.24097627e-02	6.64865800e-03	-1.32635934e-03	-6.62326968e-04	-6.64032370e-04	8.52700956e-07	2.88055234e-03	-1.49110976e-02	1.79324010e-01	7.47509075e-02	1.04573103e-01
52              	1.90512591e-02	1.24009581e-02	6.65030105e-03	-1.32925328e-03	-6.51766341e-04	-6.77486936e-04	1.28602978e-05	2.87532851e-03	-1.49098052e-02	1.79298216e-01	7.47393031e-02	1.04558913e-01
53              	1.90338593e-02	1.23987182e-02	6.63514103e-03	-1.36523806e-03	-6.52196415e-04	-7.13041643e-04	3.04226139e-05	2.88178861e-03	-1.49132289e-02	1.79278826e-01	7.47261841e-02	1.04552642e-01
54              	1.90243984e-02	1.24101712e-02	6.61422726e-03	-1.42852464e-03	-6.64621662e-04	-7.63902981e-04	4.96406593e-05	2.89797196e-03	-1.49160672e-02	1.79268440e-01	7.47181530e-02	1.04550287e-01
55              	1.90342266e-02	1.24361339e-02	6.59809270e-03	-1.50505772e-03	-6.85719457e-04	-8.19338259e-04	6.68094011e-05	2.91902059e-03	-1.49143968e-02	1.79266515e-01	7.47188608e-02	1.04547654e-01
56              	1.90645270e-02	1.24707611e-02	6.59376589e-03	-1.57715318e-03	-7.09069045e-04	-8.68084131e-04	7.95075429e-05	2.93849763e-03	-1.49070625e-02	1.79270230e-01	7.47280526e-02	1.04542178e-01
57              	1.91079608e-02	1.25051599e-02	6.60280090e-03	-1.63127053e-03	-7.28359073e-04	-9.02911452e-04	8.72761899e-05	2.95117952e-03	-1.48955470e-02	1.79275521e-01	7.47422136e-02	1.04533308e-01
58              	1.91539795e-02	1.25326343e-02	6.62134526e-03	-1.66425341e-03	-7.40550471e-04	-9.23702938e-04	9.15762332e-05	2.95564451e-03	-1.48825741e-02	1.79278398e-01	7.47566251e-02	1.04521773e-01
59              	1.91936101e-02	1.25497660e-02	6.64384412e-03	-1.68023501e-03	-7.44929886e-04	-9.35305120e-04	9.51876172e-05	2.95296096e-03	-1.48707541e-02	1.79276081e-01	7.47672862e-02	1.04508794e-01
